Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.52339481,71.58214338,76.43870301,83.07401873,105.0210647,97.86791084,100,111.8041858,119.0057313,127.7952231,133.7683667,132.8832092,138.7086655,145.6107414,146.5224819,149.8959752,,,
Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.114551761,16.67371601,30.84716683,37.80784628,40.75429437,45.94047306,61.18364806,73.81370218,74.10116053,74.13822455,76.44213532,82.3820912,82.78082267,84.6682413,86.67198462,88.7267419,91.32881552,94.36172758,96.50083443,100,103.4291232,105.5303817,107.5751604,109.3241873,111.3971641,112.8179589,115.0592696,117.3927402,119.0492584,120.9789119,123.448662,131.7508348
Algeria,DZA,,,,,,,,,,2.569024534,2.738580153,2.81051284,2.913273821,3.093105538,3.23846951,3.505005805,3.835553629,4.29540902,5.048133208,5.621025679,6.156025038,7.05818082,7.51996298,7.968691499,8.615462213,9.518559692,10.6961587,11.49208777,12.17144771,13.30392317,15.51936355,19.53676605,25.72399381,31.00778603,40.01482109,51.93108535,61.63133217,65.16497863,68.3907504,70.20003532,70.438128,73.41483508,74.4560791,77.63457483,80.71030165,81.82607845,83.71748758,86.79745039,91.01458318,96.23614476,100,104.5242115,113.8179305,117.5218381,120.9498642,126.7366464,134.8448702,142.3842032,148.4639947,151.3616678,155.0172502,166.2188945,181.619932
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22008150730772E-08,4.08014979721419E-08,1.63005984545567E-07,2.41008848315838E-06,2.5300928889588E-05,0.000699938,0.029713097,0.094837289,0.196583305,0.684495013,2.909082393,7.347208236,15.34812963,30.42369853,43.67081782,53.69480503,60.8390117,68.29270166,76.81278243,87.35939555,100,113.4824679,125.1460881,136.1311793,146.0420564,159.7025963,208.729629,271.0199309,324.2227542,379.5990422,464.141687,583.67797,
Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.56938073,80.46158257,81.08256881,82.21999235,84.19956859,85.87811271,87.62150502,89.46046308,91.05982416,92.34927916,97.27501092,96.73984273,100,103.4567497,106.9503604,108.0834972,109.2610037,110.3197357,109.7797892,112.4501693,113.8076204,115.4366126,116.1592339,118.5555947,127.4841094
Argentina,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.462030296,16.04982103,44.28969387,52.56353381,59.90180477,65.0967806,65.51876772,65.00059042,67.04544702,67.7561618,70.95530514,75.89468938,76.3796018,78.58877228,82.05246309,89.39612027,92.44163764,100,107.6500081,110.4037169,116.7957253,120.2777664,124.7661613,123.014934,124.2076293,127.337952,129.1760073,130.7408917,140.1344107,152.2433006
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,31.98245914,,,,39.85753702,41.46469576,41.91001267,43.43681348,44.79285368,46.58081779,49.29959467,52.03846104,54.05410598,56.87333028,60.46265149,62.49503766,64.5106826,66.44596959,67.68816938,69.23171143,72.03145659,74.10855877,76.56544039,79.36495241,81.37219481,84.13704849,87.17273372,91.87358252,100.1017687,97.96416676,100,104.3162974,104.970853,102.4808759,102.9127722,103.4013646,102.4384952,101.3851388,105.061406,109.5343554,,,
